CustomerKey,GeographyKey,Title,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CommuteDistance
11000,26,MR.,JON,YANG,10/6/1987,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional,1,0,3761 N. 14th St,1 (11) 500 555-0162,7/12/2020,1-2 Miles
11001,37,MR.,EUGENE,HUANG,5/10/1992,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional,0,1,2243 W St.,1 (11) 500 555-0110,7/9/2020,0-1 Miles
11002,31,MR.,RUBEN,TORRES,2/9/1987,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional,1,1,5844 Linden Land,1 (11) 500 555-0184,7/5/2020,2-5 Miles
11003,11,MS.,CHRISTY,ZHU,8/14/1989,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional,0,1,1825 Village Pl.,1 (11) 500 555-0162,7/1/2020,5-10 Miles
11004,19,MS.,ELIZABETH,JOHNSON,8/5/1995,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,1,4,7553 Harness Circle,1 (11) 500 555-0131,7/14/2020,1-2 Miles
11005,22,MR.,JULIO,RUIZ,8/1/1992,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,1,1,7305 Humphrey Drive,1 (11) 500 555-0151,7/1/2020,5-10 Miles
11006,8,MS.,JANET,ALVAREZ,12/2/1992,S,F,janet9@adventure-works.com,70000,0,Bachelors,Professional,1,1,2612 Berry Dr,1 (11) 500 555-0184,7/15/2020,5-10 Miles
11007,40,MR.,MARCO,MEHTA,11/6/1985,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional,1,2,942 Brook Street,1 (11) 500 555-0126,7/6/2020,0-1 Miles
11008,32,MS.,ROB,VERHOFF,7/4/1991,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional,1,3,624 Peabody Road,1 (11) 500 555-0164,7/15/2020,10+ Miles
11009,25,MR.,SHANNON,CARLSON,9/29/1985,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,0,1,3839 Northgate Road,1 (11) 500 555-0110,7/16/2020,5-10 Miles
11010,22,MS.,JACQUELYN,SUAREZ,8/5/1985,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,0,1,7800 Corrinne Court,1 (11) 500 555-0169,7/9/2020,5-10 Miles
11011,22,MR.,CURTIS,LU,5/3/1985,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional,1,4,1224 Shoenic,1 (11) 500 555-0117,7/1/2020,10+ Miles
11012,611,MRS.,LAUREN,WALKER,1/14/1995,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management,1,2,4785 Scott Street,717-555-0164,8/17/2022,1-2 Miles
11013,543,MR.,IAN,JENKINS,8/3/1995,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management,1,3,7902 Hudson Ave.,817-555-0185,9/14/2022,0-1 Miles
11014,634,MS.,SYDNEY,BENNETT,11/6/1989,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management,0,3,9011 Tank Drive,431-555-0156,8/24/2022,1-2 Miles
